target,id,date,flag,user,text
1,2064229792,Sun Jun 07 05:38:57 PDT 2009,NO_QUERY,PinoyTarsier,@indykitty *hug indykitty* sleep tight indy... 
0,2063435330,Sun Jun 07 02:38:52 PDT 2009,NO_QUERY,Hannah_oxberry,@Shough yeah I feel really bad for them  trying my best to help but just don't know what to say
0,2251087443,Sat Jun 20 02:23:50 PDT 2009,NO_QUERY,meabhaline,@embeep sorry about your sadness  I'll be home next weeked. we can faff about and stalk celebs on twitter
0,2066987792,Sun Jun 07 11:32:31 PDT 2009,NO_QUERY,PDKG,Couldn't spend time with the family cuz of work. Went to beach without me. 
1,1557513350,Sun Apr 19 04:34:04 PDT 2009,NO_QUERY,eulaivi,is new on twitter 
1,1997783603,Mon Jun 01 17:27:04 PDT 2009,NO_QUERY,220ialisen,just want you all to kno how amazing Jesus is...... 
0,1834955088,Mon May 18 04:43:20 PDT 2009,NO_QUERY,FollowAmelda,@FollowKayleigh AAwww.. Xd.. you wasn't in his live chat yesterday ha?   I was.. but i'm going to study as well.. Cheers &amp; goodluck Xje
1,1468586729,Tue Apr 07 02:34:23 PDT 2009,NO_QUERY,Sara7x,"welp, bedtime for me guys. night "
0,1754591658,Sun May 10 06:47:00 PDT 2009,NO_QUERY,ellaxceleste,@iceicebabyice yo I have been not following you by mistake for the LONGEST and I'm still not 
1,1977628002,Sat May 30 21:21:31 PDT 2009,NO_QUERY,KrysMarie103,Three more days. 
1,2063997620,Sun Jun 07 04:52:27 PDT 2009,NO_QUERY,fiafii,at home. taking my book out to read in the sun 
1,2065380002,Sun Jun 07 08:28:35 PDT 2009,NO_QUERY,ayoEsteban,Out to the beach 
0,1985175330,Sun May 31 16:34:59 PDT 2009,NO_QUERY,mattchewww,Wonder if I talk to @BenWay08 real nice if I gave him money he'd buy me a scratchie. Stuipd being 17 and being able to 
0,1823013502,Sat May 16 20:54:44 PDT 2009,NO_QUERY,India143,@SoFierce21 girl you not leaving it you just takin a Break from it...atleast it aint leavin you 
0,2047516485,Fri Jun 05 13:46:10 PDT 2009,NO_QUERY,Has_Bookpushers,@e_bookpushers Livia Dare's latest AKA Sylvia Day. Tor doesnt do ebooks or otherwise I would also get her Eve series 
1,1565294246,Mon Apr 20 06:24:23 PDT 2009,NO_QUERY,mikefoong,@andrewkjs sun just walked away with tripple their stock value 
0,2219457247,Thu Jun 18 00:34:51 PDT 2009,NO_QUERY,prmack,anyone know any good screen capture programs for XP? Scrnshots desktop app doesn't seem to be working 
1,1555933981,Sat Apr 18 21:07:21 PDT 2009,NO_QUERY,Ineedmyfix,@busybeeblogger I remember u saying when u like a guy u r giggly 
0,1990278869,Mon Jun 01 04:25:15 PDT 2009,NO_QUERY,dcwaters,"Absolutely loving the weather today, it's gorgeous. Shame about work  got Britney this weekend, can't wait for that! Love to you all xx"
0,2059047242,Sat Jun 06 16:08:30 PDT 2009,NO_QUERY,LuckieStarZ,@IAMJUNELOVER yay!!! I BBM'd u and u didn't respond 
0,2191461172,Tue Jun 16 05:19:30 PDT 2009,NO_QUERY,heidiEHS,My 10mth old is on her 3rd outfit due to the inordinate amount of drool her teeth are making. Teething is awful. My poor baby girl 
0,2286053894,Mon Jun 22 15:56:10 PDT 2009,NO_QUERY,kristycowie,@mitchelmusso are you coming to vancouver? your myspace says you are but there is no place posted.if not that will ruin my summer.. 
0,2066345842,Sun Jun 07 10:20:40 PDT 2009,NO_QUERY,Miriam1216,Wishes she had some chocolate 
0,1883571880,Fri May 22 08:45:53 PDT 2009,NO_QUERY,addersop,@Shinybiscuit Not Shinycunt then? I'll be disappointed if you go for Bastard over Cunt 
0,2263336631,Sun Jun 21 00:32:42 PDT 2009,NO_QUERY,oddypop,is upset coz her bunny died  and she loved him way to much and she misses him 
1,2003833930,Tue Jun 02 07:13:34 PDT 2009,NO_QUERY,ivanizer,@PerezHilton Leave Adam Lamber alone!!! Leave him alone! lol 
1,1979543801,Sun May 31 03:30:10 PDT 2009,NO_QUERY,AirUpNorth,Home again.. it was amazing..  Now I'm off to sunbathe for a while...
1,1989371856,Mon Jun 01 01:17:46 PDT 2009,NO_QUERY,Ellawr,@xxnay sorry brother. didnt mean to send to you  haha. I'm twitter stupid.
1,2056262754,Sat Jun 06 10:49:30 PDT 2009,NO_QUERY,heatwave06,@WhitneyC89 You havin a baby shower? Congrats! 
1,2052323273,Sat Jun 06 00:20:51 PDT 2009,NO_QUERY,alexis_james,"fun night of mojitos and theology. and in the morning, at least your hangover will have some religiosity to it (jk "
1,1880791314,Fri May 22 02:31:05 PDT 2009,NO_QUERY,SClarkin,@1jaredPADALECKI Welcome to the madness that is Twitterland 
0,2191448281,Tue Jun 16 05:17:49 PDT 2009,NO_QUERY,MsMusiclover,Good morning!!! How is everyone doing? I wanna go back to sleep 
0,2251191863,Sat Jun 20 02:43:27 PDT 2009,NO_QUERY,ghost_1985,Only 3 eps left of Harper's Island 
0,2245667382,Fri Jun 19 16:27:55 PDT 2009,NO_QUERY,mystique413,"Ouch my knee is so sore bad times, hope its better 4 work dont fancy being on my feet allday doin an 8 hour shift with a sore knee "
1,1979731408,Sun May 31 04:16:39 PDT 2009,NO_QUERY,keithgmitchell,Hope you are all having a good weekend 
0,2252700241,Sat Jun 20 06:49:21 PDT 2009,NO_QUERY,John__94,there is nothing to do 
1,2052504912,Sat Jun 06 00:57:49 PDT 2009,NO_QUERY,Rai7Rai,"@NaniWaialeale -Good Night! It's past my bedtime too..got an early, LONG day ahead of me tomorrow too! Sleep well.. "
1,2052550925,Sat Jun 06 01:07:13 PDT 2009,NO_QUERY,SammibabyDuuh,Just got home from a wonderful night with my baby  goodnight!
1,1834046886,Mon May 18 01:25:26 PDT 2009,NO_QUERY,chloe_louise,Raphael Saadiq to get me smiling on the way to work this morning 
0,1557228239,Sun Apr 19 02:47:00 PDT 2009,NO_QUERY,isdown,asot400 is down in the trending topics. too bad.  #asot400 http://bit.ly/13i3Yp
1,1677875218,Sat May 02 04:27:04 PDT 2009,NO_QUERY,lorirusso,@ThatGuyHugs You're not coming to the game?  I was going to introduce you to my mom! 
0,2219100245,Wed Jun 17 23:47:48 PDT 2009,NO_QUERY,taywa199,omg so bored!! somebody entertain me im listening to music on myspace and twitter and im STILL bored! 
